overall,verified,reviewTime,reviewerID,asin,style,reviewerName,reviewText,summary,unixReviewTime,vote,image
4.0,True,"05 17, 2011",AQZH7YTWQPOBE,B000FA64QO,{'Format:': ' Kindle Edition'},Arnold,"Most of the New Jedi Order books focus on the Solo kids, to the extent that some are viewed as ""Jacen books"" or ""Jania books."" The novella Ylesia is if anything a book starring Thrackan Sal-Solo. Thrackan is forcibly recruited by the Yuuzhan Vong to become president of the Peace Brigade Republic. However, the New Republic forces also choose to attack Ylesia. There's nothing new or terribly exciting in the novel, but it's a nice side story. It's written in a similar style as&nbsp;<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/Destiny-s-Way-Star-Wars-The-New-Jedi-Order-Book-14/dp/0345428749/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">Destiny's Way (Star Wars: The New Jedi Order, Book 14)</a>, which isn't surprising as they're both by the same author. This short story actually takes place during the novel, so I'd recommend reading the novel first so Ylesia doesn't spoil any surprises.",A Thrackan story,1305590400,2,
5.0,True,"01 27, 2014",A1ZT7WV0ZUA0OJ,B000FA64QO,{'Format:': ' Kindle Edition'},Kindle Customer,I was hoping to find this one in book form. The story looks like it will be good when I get that far in the series.,my e- collection,1390780800,,
2.0,True,"04 15, 2013",A19T7R8I566N5Y,B000FA64QO,{'Format:': ' Kindle Edition'},Shooter,"Books are supposed to be made of paper and ink. And reading this short story several years after its release certainly didn't help me recount most of the other NJO books, or what was going on.

I probably could have gone many more years without reading this, with no loss.",I really hate e-books,1365984000,,
3.0,True,"08 7, 2012",A22CW0ZHY3NJH8,B000FA64QO,{'Format:': ' Kindle Edition'},(),"The events of ""Ylesia"" take place during ""Destiny's Way.""  If you've read ""Destiny's Way,"" you will see it mentioned in passing.

Jaina and Jacen go to Ylesia to fight the Peace Brigade to show them that it's not good to align themselves with the enemy.  From there, it is page after page of battle scenes.  It is endless.  One huge chapter.  It's like the chapter that was cut out for good reason.

""Ylesia"" doesn't advance ""Destiny's Way"" or ""The New Jedi Order"" in any way that I could tell.  We don't learn anything new.  There is no insight.  If I had skipped it, I wouldn't have missed anything.

If you don't mind reading in PDF, ""Ylesia"" is available free from Del Rey.  If you Google, you'll see it linked to the Wayback machine and it's still there.",One huge chapter,1344297600,,
2.0,False,"03 15, 2012",A3SZMGJMV0G16C,B000FA64QO,{'Format:': ' Kindle Edition'},Andrew Pruette,"With Ylesia, a novella originally published in e-book form, Walter Jon Williams gets an opportunity to insert further story into his novel Destiny's Way. The events of Ylesia take place midway through that book, so this is a good read to tackle immediately after finishing Destiny's Way. The novella follows a New Republic mission to the titular planet, which is serving as the capital of the traitorous Peace Brigade and houses their attempt at a Senate. The Peace Brigade promote capitulation to the Yuuzhan Vong and have served as a human counterpoint to the efforts of the Jedi and the more heroic members of the New Republic throughout the New Jedi Order. They are a logical part of the story but not one I've found terribly interesting, as we rarely get anything told from their point-of-view, making them rather cardboard as adversaries.

Yleisa brings back Thracken Sal-Solo in an entertaining plotline which sees him forcibly installed as the President of the Peace Brigade. This doesn't fit well with Sal-Solo's plans to better his own galactic situation but he displays a knack for adaption and survival not unlike that of his famous cousin Han Solo. Ylesia itself, a major source of the drug spice in the Star Wars galaxy, will be familiar to readers of A. C. Crispin's Han Solo Trilogy, and it's nice to see it return.

For the most part Yleisa doesn't advance the story of Destiny's Way much: primarily, it delivers some closure to the Peace Brigade subplot. Sal-Solo was the most memorable aspect, as some of the space battle and ground assault material following the New Republic's invasion of the system felt like material I've read an awful lot of times before.  Ylesia is a solid enough little story but I would only recommend it to someone going through the entire New Jedi Order and wanting a little more.",Minor New Jedi Order side story,1331769600,,
3.0,True,"01 31, 2010",A3CON4WD5PKNWO,B000FA5PV4,{'Format:': ' Kindle Edition'},Norma S,"I wasn't prepared for this to be short stories so it took me a while to appreciate them.  This book was full of ""lessons"" that L'Amour wanted written; the lessons seemed forced and I didn't feel this was his best work.

I bought this for the Kindle...sure do love that and the ability to buy and receive books right away.  Can't be beat!",Short Stories,1264896000,5,
5.0,True,"07 2, 2013",A454MD2H0729Q,B000FA5PV4,{'Format:': ' Kindle Edition'},Larry J. Frieders,Louis L'Amour is a writer I've enjoyed since my youth. Recently I asked my Facebook friends for book suggestions because I was in a rut. L'Amour came up and I dove back in. Pure entertainment without a single ulterior motive.,Good Old Fashion Entertainment,1372723200,,
4.0,True,"06 23, 2013",A27Q7QKHCP20CX,B000FA5PV4,{'Format:': ' Kindle Edition'},Walt,"LAmour is one of the best western writers I have read.  However, the promotional materials will lead you to think that this is a full length novel.  It is NOT.  It is only a collection of his short stories.  A real disappointment.",Typical L'Amour,1371945600,,
3.0,True,"03 13, 2013",A24TUYQNOXGVB5,B000FA5PV4,{'Format:': ' Kindle Edition'},Marc Quesnel,"A typical L'Amour western, not one of his best but enjoyable nevertheless. L'Amour is always a good read, good excapeism.",Tumbling K,1363132800,,
5.0,True,"11 14, 2012",A3A7K2CC58CV0O,B000FA5PV4,{'Format:': ' Kindle Edition'},GEORGIA,I am very prejudiced toward anything with Louis LAmour writes.  He is easily one of the best writers of the 20th century.,Louis L'Amour,1352851200,,
5.0,True,"11 4, 2011",A33D2NXM8BXNIL,B000FA5PV4,{'Format:': ' Kindle Edition'},racewalker,In all my years of reading westerns there is none better than Louis L'amour.  This book like the rest is correct to the place and doesn't have to include foul language and sex.,Just plain GOOD!  Like all of his books.,1320364800,3,
5.0,False,"12 6, 2003",A1I2O9Y3X3HXLS,B000FA65EK,{'Format:': ' Hardcover'},Arthur W Jordin,"Hades' Daughter is the first novel in the Troy Game series.  Millennia ago, during the late Bronze Age, the king of Athens was forced to send seven youths and seven maidens to Crete every nine years.  There they were left in the dark maze of the Labyrinth to become victims of Asterion, the Minotaur son of the Minoan king.  One year, the Athenian king sent Theseus, his own son, to Crete among the sacrificial levy.  Theseus gained the love of the Minoan king's daughter, Ariadne, slayed Asterion and escaped with the other captives, Ariadne, and her younger sister Phaedra.
Now Ariadne was pregnant with a daughter by Theseus and he had become infatuated with Phaedra.  So Theseus abandoned Ariadne and his unborn daughter on the island of Naxos, saying that it would be too dangerous for her to sail on and that he would return from Athens after the child was born to take them to his home.  When Ariadne objected, Theseus claimed that he was only doing the will of the gods and sailed off with his his paramour to Athens.  In her anger, Ariadne plotted vengeance against the entire Aegean world, gods as well as men, and used her powers as Mistress of the Labyrinth to initiate the destruction of all the labyrinths except one.  Since these labyrinths had been used to magically trap all manner of evil influences to protect their cities, corruption and destruction soon began to spread throughout the Aegean.
After launching her curse, Ariadne sailed away from Naxos to the far distant island of Albion.  In the following years, disaster after catastrophe destroyed cities and crops and lives throughout the Aegean as the labyrinths failed.  Finally, the Aegean world was wracked by the ten year Trojan War, spreading Trojan refugees throughout the known world.
In this novel, 98 years after the fall of Troy, the Trojan Kingman Brutus, son of Silvius and heir of Aeneas, is visited by the seeming of the goddess Artemis and told that he is destined to build Troia Nova on the island of Albion.  First, however, he must complete a task to prove his worthiness.
Cornelia is a fifteen year old dreamer who has decided on a certain youth as her future husband.  When this youth is slain by Brutus and then Brutus takes her in marriage by force of arms, Cornelia screams her hatred and starts to plot against the Trojans.  When that plot and other efforts to oppose Brutus fail disastrously, Cornelia blames herself for the lost lives and her spirit is broken.
In this story, the Trojans sail to Llangarlia on Albion as victims of a great scheme by the great-great-granddaughter of Ariadne to reconstruct the Game (or labyrinth) of Troy upon the Veiled Hills above the banks of the River Llan.  She is the only surviving Mistress of the labyrinth and Brutus is the only surviving Kingman.  Together the two can rebuild the Trojan Game and Brutus will sacrifice almost anything to gain that power.  Strangely, however, he can't quite sacrifice Cornelia.
This story is rich in ancient Greek and British allusions and nuances.  The many details of ordinary life in those societies make the tale convincing and immediate.  One finds oneself vicariously living among these characters and participating in their lives.
The story nicely weaves the myth of the Minotaur with other Greek and British myths.  The author tells us why and how the Aegean world self-destructed.  Moreover, she tells you the real story of the city of Llanbank on Albion.  Just when you thought you knew the truth, this novel comes along to confuse you once more.
The story does include some rather explicit sex and sexual cravings.  Moreover, the relationship between Brutus and Cornelia has more than a hint of sado-masochism, but may be fairly typical of those brutish times. This relationship is nicely contrasted with such bonds within the matriarchial Llangarlian society.
This novel does move somewhat slowly at first.  One is almost tempted to look ahead to see how it will come out.  Moreover, the author has interspersed scenes from pre-war London prior to the Blitz to further tantalize the reader.  Just when the story is beginning to really move, however, it terminates;  although it will be continued in God's Concubine, one hates to wait.
Recommended for Douglass fans and for anyone else who enjoys tales of ancient societies and magic.",The Fury of a Woman Scorned,1070668800,8,
2.0,False,"06 9, 2003",A1JV4QKTEB7QBL,B000FA65EK,{'Format:': ' Hardcover'},Diana Faillace Von Behren,"Luckily, I listened to this book while I exercised rather than read it and found that Douglass's straightforward uncomplicated literary style directly complimented the mindless activity I strove to accomplish.  This is not to say that I thought the book uninteresting or boring in any way.  On the contrary, the storyline moves along, albeit the pre-historical plotline jars pathetically with the author's modern jargon leaving the reader no choice but to roll one's eyes upward in utter amazement at the blatant inconsistency.

In a nutshell, the plot revolves around a somewhat undefined 'game' at which a labyrinth plays an integral part in protecting the city in which it is located.  With the anger of a spurned woman, Ariadne of Crete beseiges her half-man half-bull brother Asterion to teach her the dark ways that will help her destroy the power of the labyrinth after Theseus throws her over for her younger sister.  Of course, as mistress of the labyrinth, she leaves a backdoor for herself and her female progeny--a way in which to recreate the game in a future time and reclaim her power.  Approximately 100 years later, Ariadne's heir Genvesa is all but ready, however she needs a King man to help her dance the mystical powers of the game back into being and forever trap Asterion in the center of the maze.  Trojan Brutus, adept at the game, is her man and through a series of ploys and adventures, Genvesa lures him from Greece to the misty land of Albion--the southern portion of the British Isles.  One crucial problem arises to snag Genvesa's plans when Brutus impulsively takes Cornelia, the daughter of a conquered king, as his wife and drags her along on his quest for the promised land of New Troy. In Albion, Genvesa has all but destroyed the old god and goddess that ruled the island.  When the Albion mother goddess, Mag, Genvesa's chief foe, hides within Cornelia, Genvesa's plans to reconstruct the game are almost permanently foiled.

As you can imagine, this tale is long and fraught with the machinations of all characters who seek either self-preservation or the heady power of pure domination.  Douglass cleverly combines many myths to support her premise and to bring alive the baser natures of her creations.  However trite, there is sex, gore and raw emotion galore, so much so that I found myself wincing with disgust at many of the too descriptive passages enlightening the reader to scenes of birth, death and utter savagery.  The characters seem to be intentionally crafted as archetypes like the gods and goddesses of ancient Greece rather than real fleshed out personas. Brutus lives only for the power of kingship and possession of Genvesa.  Cornelia, raped and torn from her family and country, somehow improbably forgets her grief and yearns for love from her brutal husband.  Genvesa connives with a hallowe'en witch's malevolence while the rest of the cast are simply not finely drawn enough to not be categorized as either good or evil.  All characters are either blighted with trite dialogue or overly long-winded emotional explosions.

Bottom line:  While the story will keep your attention, none of the characters are subtle enough to capture your emotions; they are stylized shadows which at times fail to elicit much response other than a shrug and a turn of the page.  The literary style fails to recreate a feel for ancient times, rather it attributes modern day sensibilities to otherwise primordial savages.  I don't know if I will read the second volume of this trilogy unless I could again listen to it while I engaged in something physically challenging.","""Des"" Troy Game",1055116800,29,
4.0,False,"12 15, 2012",A2RPZTZP8W80W,B000FA65EK,{'Format:': ' Mass Market Paperback'},Jasmyn9,"This was the second attempt at this book - the first being when I was a teenager and I just couldn't get through it.  This time was totally different.  A very complex and compelling story taking us back to the days of the ancient Greek gods.  With the fall of the ancient Labyrinth, evil is unleashed on the Greek world and civilization quickly crumbles.  Far away on the coast of what will one day be England, one small outpost thrives with the Mistress of the Labyrinth as it's leader.  Calling out to her partner, the Kingman, she sets in motion a devastating series of events that will either lead the world into the light, or destroy it forever.

While at times the complex storyline made the book drag a little - every sentence had a reason for being there, you just might not realize it yet.  Definitely not a book for those wanting a quick run through a fantasy land, this book requires a bit of concentration - but it's well worth the effort.  About half way through things just started falling into place and I had a hard time putting it down.",Hades Daughter,1355529600,,
3.0,False,"04 11, 2012",AHAVDM445MD1W,B000FA65EK,{'Format:': ' Kindle Edition'},Never without a book,I picked up this book several years back in hardcover and really enjoyed it.  The characters developed well and the author provided some historical insight into ancient times.  The thing to note is that there are four books in the series and some of the books are better than others.,Interesting plot,1334102400,,
1.0,False,"05 22, 2009",A2EDZH51XHFA9B,B000FA65EK,{'Format:': ' Hardcover'},Robert Beveridge,"Sara Douglass, Hades' Daughter (Tor, 2003)

It's rare that I completely abandon a book these days. And when I do, it almost always happens on page fifty, once I've had more than enough of whatever piece of the structure I can't take any more. That didn't happen with Hades' Daughter, in part because when I reached page fifty I was locked out of the house and had no other reading material. In any case, over the past nine months, I have struggled my way through one hundred eighty-eight pages of this monstrosity, or about a third of the first book in a series, before the prose got the best of me. I can't really quote you a passage to show you why, because there aren't many passages that don't involve the kinds of subjects that would get a review censored in the places one normally posts a review. Which, honestly, usually means that book is right up my alley; have can you go wrong with almost six hundred pages of sex, violence, and combinations of the two? In short, by writing a Harlequin romance that's too violent (and long) for Harlequin to publish. The premise is interesting, but the execution leaves a great deal to be desired. I'd like to see a really, really good romance author take this on (Marjorie Liu would be a fine choice, I think), but as it stands, it's just plain silly. (zero)",I salute those of you who soldiered through all 592 pages.,1242950400,3,
2.0,False,"07 31, 2007",A1X8VZWTOG8IS6,B000FA65EK,{'Format:': ' Mass Market Paperback'},average,"This book is too long and too messy, and for a fantasy book, none of the characters were interesting enough to put up with for that long.

A man and a woman, mythological and historical characters that you have probably heard of, but changed in this book, end up opponents down through the ages, a conflict that his its root in their original meeting.

The first part is not so bad, then, blah.",Australian SF Reader,1185840000,2,
3.0,False,"05 7, 2016",A35CCGJDNXUDY9,B000FA671Q,,Sandra,"This story opens with Nicholas Van Tassel surviving a restaurant fire. Once he exits the burning building and helps others to do the same, he sees Etna Bliss standing under the lamp light. He is instantly in love.

Nicholas finally marries Etna and with full knowledge that she will never love him. She had told him. Nonetheless, he insists, believing he can make her love him. In addition, Etna, a woman before her time, hungers for independence. In the early 1900's, this is neither commonly accepted nor accommodated. Nicholas is definitely a man of his time, and does not feel Etna's independence is proper. Wishing to hold onto his wife and to acquire a position for which he longs at the college, Nicholas resorts to an outrageous act.

This book is a reflection of Nicholas's life. Nicholas Van Tassel is actually riding in a train and writing this account of his life for his son. As he looks back on his life, the reader is given a one-sided account, his interpretation, of his career as a college professor and of his marriage to Etna Bliss.  I grew to detest him, as the story proceeds. However, is he a product of his times? Or is he truly and evil man?",All He Ever Wanted: What Would He Be Willing to Do to Get What He Wants?,1462579200,,
4.0,False,"02 8, 2015",A3S7REHVBOSTLR,B000FA671Q,,Toni V. Sweeney,"At the turn of the 19th century into the 20th, 30-year-old, Thrupps College teacher Nicholas Van Tassel is involved in a restaurant fire. Also a victim is Etna Bliss, visiting niece of a fellow professor. Assisting her and her aunt home, the usual staid and controlled Nicholas is so smitten, he courts and asks Etna to marry him. She turns him down. He's distraught. Startled and flattered by his reaction, Etna accepts his proposal for she can't believe a man could love her so. Thus the love affair is one-sided from the beginning.

The marriage goes on an even keel with Nicholas accepting that Etna has less passion for him than he for her. They have two children. She throws herself into volunteer work. Then he discovers she has purchased a cottage and has been going there on days he thought she was doing charity work. Etna's excuse is that she wishes a refuge, a place to escape from her everyday life for a while but Nicholas refuses to believe it.  When a visiting professor from Yale is discovered to be the brother of a man Etna had a love affair with when she was younger, and is also in the running to be named Dean at Thrupps, a position Nicholas covets, his jealousy erupts. Philip Asher and Etna renew their friendship, making Nicholas view the younger man as a competitor for his wife's affection, and the fact that Asher is a Jew makes the insult greater.

Forcing his teenage daughter to be his accomplice, Nicholas formulates a plan to rid himself of his rival, both from his wife's life and the position at the college...

The story, with its overtones of racial prejudice, are told in flashback as Nicholas makes a train journey to Florida, showing too late the extent of his guilt and his love, as well as his repentance for what he has done.

While Nicholas' obsession with Etna isn't the bloodthirsty, murderous kind, it still has enough of a hold that even thirty years later, when the story is told, his passion, so tightly controlled except on this one subject, still breaks through. It is the story of a man not expecting to find such a burning emotion for a woman, allowing it to secretly influence him to such an extent that he'll ruin an innocent man's reputation to get her back.

Nicholas succeeds in his attempt but fails at the same time for his victory is a bitter one. What he does forever clouds his life, as well as Etna's, Asher's, and his two children's.

This novel is owned by the reviewer and no remuneration was involved in the writing of this review.",All he ever wanted was too much,1423353600,,
4.0,False,"12 17, 2014",A3U33S51P9LA8S,B000FA671Q,,Shazartist,"I always love Shreves genius in coming up with tales of woe. She is a master story teller and can weave the tiniest detail of a personality in moment in time, and eventually have it implode. Such a wonderful descriptive writer and she seems to know these people well and she understands her characters with true subtleties. This was a wonder rich book but not a tale that was at all enjoyable. The narrator was a true sociopath, he wanted his own way and did not really care how he got it or whom he hurt. I think a lot of people think these types of people are not caring or loving, they are but not if it does not suit their purpose. How he manipulated his daughter was disgusting. But the cleverness of Shreve's writing shone through with how she wove a tale of true tragedy on something so simple as marrying someone you do not love. The Asher brothers were an interesting pair, we knew very little about them but amazingly their characters seemed to come alive within the Tale. None of the Characters were particularly endearing they were slighty grey and sad. I could see how the tale could have had a few endings and was glad that Shrive took it the ways she did. A very good read and one to try if you are not depressed by bad romantic or life choices.",A terrific controlled romantic tragedy.,1418774400,,
3.0,False,"02 15, 2014",AB1E9ZRU05KWY,B000FA671Q,,Susan Smith,"I didn't like Van Tassel, a pompous, arrogant gent. He wanted Etna without ever really knowing a thing about her. He wanted her, had to have her and in the end got what he deserved. This was hard to read as it was written in early 20th century style.",Got what he deserved,1392422400,,
4.0,False,"01 4, 2013",A246RNOSR76X3T,B000FA671Q,,JerseyGirl Yvonne,"Nicholas Van Tassel sees Etna Bliss on the night of a terrible fire and comes to her aid.  He is captivated by her and decides that he must have her for his wife.  He will do anything to attain his goal.  Etna agrees after a long courtship to be his wife but there is a problem.  She tells Nicholas that she can not love him and that she never will.

Nicholas believing that he can make Etna love him enters the marriage hoping for the impossible.  Etna never returns his love. She also breaches his trust but not in a way that the reader might think.  Because of this breach of trust after 14 years of marriage, Nicholas in a moment of passion tells Etna that he will divorce her.  However, he soon regrets his outburst and begs Etna's forgiveness.  Etna will not forgive.

Because Etna will not forgive him, Nicholas ventures down a path of no return and loses not only his wife but another member of his family.

This is a haunting story about one man's quest to have the woman he loves.  I could not stop reading this story and was horrified at the lengths that Nicholas would go to in hope of having his love returned. It is a cautionary tale about marrying when the person you love does not love you in return.",He wanted love,1357257600,,
5.0,True,"04 27, 2011",A1L43KWWR05PCS,B000FA671Q,,lawyeraau,"This is a terrific period novel by the author, and she very capably captures the social mores and customs of the times. Dealing with desire and obsession, secrets and betrayal, the book certainly delivers a rich reading experience that will keep the reader riveted to its pages.

The story therein is a first person narrative told in flashback by Nicholas Van Tassel. The pivotal story begins at the turn of the twentieth century, when the narrator is an undistinguished professor at a small New England college.  A bachelor, he spies Etna Bliss, a pretty, single woman and falls in love at first sight. As luck would have it, he enables her to escape from a fire, creating a connection that he will use to press his suit. That chance meeting will ultimately end in marriage. After all, her only other option is to live as a poor relation in her married sister's household.

What happens to Nicholas and Etna, as well as the tragic results of the bargain they each made when they entered into their marriage, reveals much about each of them and is also reflective of the time in which they lived. This is a wonderfully told, thematically complex tale that is evocative of a bygone era.",BE CAREFUL WHAT YOU WISH FOR...,1303862400,,
5.0,False,"07 22, 2010",A2ESXEVEQB37I3,B000FA671Q,,S. Dargin,"A unique way to write about an obsession, unreturned love, and the impact it has on many lives.  The setting is a small town in NH in the 1900's.  This book intrigued me because of many angles.  The physical obsession that  Nicholas Van Tassel has on Etna.  Etna is an intelligent and unique women for her era.  In Nicholas's words the story is written during the course of his train ride to Florida to see his daughter that he hasn't seen in over twenty years.  The story is told exclusively from Nicholas point of view, with the exception of the letters exchanged between Etna and her would be lover, creates gaps in what really happened.  The gaps are ok, it adds to the sense of Nicholas and his obsession.  He even makes up what happens in the gaps at times.  Not a book I thought I would enjoy, but I did!  I love Anita Shreve's writing style.  It allows you to see the multiple dimensions of character (even if the character can be unlikeable at times), the era, and get a feeling for what it might be like, in a way that is part of the excellent storytelling.",Exploration of Obsession and an Unreturned Love and it's Impact,1279756800,,
2.0,False,"01 12, 2009",AMCAID3LTHKEC,B000FA671Q,,T.L. Walker,"Having always had a good opinion of Anita Shreve's writing style (if not all of her stories, for instance, I loved A Wedding in December and Fortune's Rocks but was only mildly pleased by Sea Glass), I thought that this novel looked extremely promising. Unfortunately, I simply could not get into this story. Not one of the characters was likeable and everything was so predictable that I was ready to give up on finishing this book before I reached the halfway point.

The one redeeming quality of this novel--and the reason I gave it two stars instead of one--is how well Ms. Shreve was able to write from the perspective of a man, particularly a man such as Nicholas Van Tassel--stuffy, priggish, and a bit of a monster in the end.",Disappointing at best...,1231718400,,
5.0,False,"09 26, 2008",A10IKHRUSMKP46,B000FA671Q,,J. Kaye Oldner,"Professor Nicholas Van Tassel, now in his later years is traveling on a train heading from New England to Florida to attend his sister's funeral. On the trip, he writes his memoirs, beginning in 1899, when he rescued Etna Bliss and her niece in a hotel fire. Through his writings, you'll discover how his love for her turned into an obsession and the price he was willing to pay to be with her.

With all the books I need to read, I opted for the audio download of this book. The narrator, Dennis Boutsikaris, was as asset to the story. He sounded just as I'd imagine Nicholas Van Tassel would.",A Different Kind Of Love Story,1222387200,,
1.0,False,"12 2, 2007",A1T3C70F4QYX27,B000FA671Q,,Hope,"I am so frustrated with Anita Shreve.  I cannot imagine her personal life.  She keeps writing about people who love the wrong people, marry for the wrong reasons and cannot communicate with one another.

Though immensely fast paced and readable, I did not like this first person account. It is told as a memoir that is written while the protagonist is on a train some 30 years later. It takes a great deal of time to learn that Nicholas Van Tassel, a pompous professor at a ""Dartmouth-like"" college in New England, falls for Etna Bliss, a repressed woman, who has secrets of her own.  After their marriage, Bliss submits to her husband, but never participates in the joinings.  Van Tassel is unable to discuss any of this with her and this, of course, leads to the Shreve's ""big conclusion.""

Van Tassel is a small minded, midling professor who is jealous of other men, particularly another professor brought in to compete with Van Tassel for a school position. Though obsessive in general, his obsessions with his wife grated on my nerves!",A big disappointment,1196553600,,
4.0,False,"08 18, 2007",AX54G5AL870Q8,B000FA671Q,,Ratmammy,"ALL HE EVER WANTED by Anita Shreve
August 18, 2007

Amazon Rating: 4/5 stars

Another excellent Anita Shreve book, ALL HE EVER WANTED is unique in that the main character and narrator is a man. The story takes place in the early 1900's, and begins with a restaurant fire. The narrator had been eating in the hotel restaurant when the fire broke, and he relates to the event and his first glimpse of the woman who will eventually become his wife. What is important is the narration, as it gives the reader a very good observation of the character of this person, Nicholas Van Tassel, who will come across to most as learned, somewhat pompous and at times arrogant. His speech is, I felt, over the top, and this is what gives one the impression that he often times feels he's above everyone else (which is implied, not stated).

He is immediately besotted with this beautiful woman, who is a little past marriageable age but nevertheless attracts his attention. He cannot stop thinking about her. He finds a way to meet her, and learns that she is the niece of a colleague of his at Thrupp College, where he himself is also a professor. Her parents are deceased, so she is currently living with her uncle Professor Bliss until she is ready to return home to what is now has become her brother in law's house  (being a woman, she had no rights to the property where she had lived with her parents. Thus she was kicked out of her own house).

Nicholas begins to woo Etna, coming to see her at her uncle's house and asking to take walks with her. The courtship is slow and long, and Etna (the reader will notice) is not enamored with Nicholas as he is with her. Eventually, Nicholas gets the courage to ask for her hand in marriage, and Etna does accept eventually, as it is the better of two evils - she knows that her fate was to live the life of a spinster, becoming the nanny to her sister's children.

Thus begins the life of Nicholas and Etna Bliss, with Etna agreeing to be the mother of his children, to be his wife. They have two children and to the outside world all seems to be perfect. But the marriage was lacking in one important factor - Etna did not love Nicholas, and Nicholas knows this. He hopes that as the years progress that his wife will learn to love him as much as he passionately loves her.

The reader will know immediately that Nicholas's love for Etna is not a healthy one. He is obsessed with her, as is evidenced by his thoughts throughout the narration, and his actions. Etna is trapped in a marriage she never wanted, but felt she had to accept because she needed stability and a place to call her own. What Nicholas does not know for quite a while is that Etna is keeping secrets. And Etna does her best to keep them hidden, as they are the only sources of happiness she has in this one-sided marriage.

I wasn't sure if I would like ALL HE EVER WANTED, being somewhat skeptical with the male narration, but it worked for me. Shreve creates a character that the reader will loathe, or maybe feel pity for, but I certainly had strong feelings towards this man who I felt was a chauvinist and a pompous jerk. But was he a result of the times? Maybe. Still, the life he and Etna create together is far from perfect, and I could certainly understand Etna's needs. Anita Shreve does it again, and has written another absorbing novel in ALL HE EVER WANTED.",Another novel by Anita Shreve that I loved,1187395200,,
5.0,False,"04 5, 2007",A2CRUEQ9QIOT70,B000FA671Q,,Marina Kushner,"This tragic love story will leave you with a series of what if questions about love.  When is love too much, and what if love is not exactly reciprocal?",What if?,1175731200,,
